                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70096,                 0.6759,                 1.0797,                0.85266,                      1,                  0.995,                0.67988,                0.74759,                 1.3407,                 1.3425,              0.0017756,              0.0017756,              0.0017756
                     36,                 0.6566,                0.62505,                 1.0927,                0.82153,                      1,                0.97214,                0.67784,                0.90366,                 1.1587,                 1.4451,               0.001769,               0.001769,               0.001769
                     37,                0.59453,                0.59059,                 1.0525,                0.98882,                      1,                  0.995,                0.78812,                0.70185,                0.89119,                 1.2144,              0.0017624,              0.0017624,              0.0017624
                     38,                0.56718,                 0.5526,                 1.0063,                 0.9934,                      1,                  0.995,                0.78559,                0.73745,                0.79499,                 1.3913,              0.0017558,              0.0017558,              0.0017558
                     39,                0.65634,                  0.609,                 1.1131,                0.96194,                0.83333,                  0.955,                0.79982,                0.78686,                0.94254,                  1.305,              0.0017492,              0.0017492,              0.0017492
                     40,                0.63868,                0.56197,                 1.0601,                0.97739,                0.83333,                0.94167,                0.75016,                 0.9746,                 1.0084,                 1.6065,              0.0017426,              0.0017426,              0.0017426
                     41,                0.64841,                0.57471,                 1.0704,                0.98682,                0.83333,                  0.895,                0.71536,                0.93201,                 1.0061,                 1.5315,               0.001736,               0.001736,               0.001736
                     42,                0.62438,                0.59469,                 1.0762,                      1,                0.99553,                  0.995,                 0.8791,                0.66861,                0.78285,                 1.2034,              0.0017294,              0.0017294,              0.0017294
                     43,                0.58103,                0.58218,                 1.0014,                0.99804,                      1,                  0.995,                0.90103,                 0.4728,                0.72862,                   1.01,              0.0017228,              0.0017228,              0.0017228
                     44,                0.58557,                0.55676,                 1.0501,                      1,                0.99685,                  0.995,                0.90378,                0.47043,                0.78016,                0.99751,              0.0017162,              0.0017162,              0.0017162
                     45,                0.54306,                0.54204,                 1.0286,                      1,                0.99715,                  0.995,                0.92905,                0.48312,                0.76044,                0.97183,              0.0017096,              0.0017096,              0.0017096
                     46,                0.57753,                0.53285,                 1.0387,                0.98477,                      1,                  0.995,                0.88506,                0.49612,                0.92016,                0.99064,               0.001703,               0.001703,               0.001703
                     47,                0.54696,                0.51248,                      1,                0.98713,                      1,                  0.995,                0.90946,                0.50355,                0.77171,                0.99252,              0.0016964,              0.0016964,              0.0016964
                     48,                 0.5341,                0.51011,                 1.0259,                0.97069,                      1,                  0.995,                0.90102,                0.44852,                 0.9463,                0.94984,              0.0016898,              0.0016898,              0.0016898
                     49,                 0.6287,                0.52743,                 1.0533,                0.78624,                0.83333,                0.84233,                0.74821,                0.47826,                 1.9368,                0.95036,              0.0016832,              0.0016832,              0.0016832
                     50,                0.52061,                0.48077,                0.98671,                 0.5201,                0.66667,                0.74571,                 0.6702,                0.46846,                 2.4211,                 0.9786,              0.0016766,              0.0016766,              0.0016766
                     51,                0.64149,                0.55823,                 1.1306,                0.48359,                0.93983,                0.73333,                0.66846,                 0.5384,                 2.4129,                 1.0757,                0.00167,                0.00167,                0.00167
                     52,                0.57975,                0.49092,                 1.0055,                0.43754,                      1,                0.75099,                0.65488,                0.58091,                 2.1184,                 1.1182,              0.0016634,              0.0016634,              0.0016634
                     53,                 0.4988,                0.51061,                 1.0106,                0.50943,                0.69497,                0.77662,                0.66465,                0.68207,                    1.8,                 1.1715,              0.0016568,              0.0016568,              0.0016568
                     54,                0.52384,                  0.566,                 1.0388,                0.94913,                      1,                  0.995,                 0.7511,                0.74004,                0.87573,                 1.1915,              0.0016502,              0.0016502,              0.0016502
                     55,                0.62175,                0.57375,                 1.0938,                      1,                0.94532,                  0.995,                0.77984,                0.84352,                0.72243,                 1.2415,              0.0016436,              0.0016436,              0.0016436
                     56,                0.60138,                0.52706,                 1.0439,                0.98723,                      1,                  0.995,                0.79495,                0.76198,                0.65461,                 1.1758,               0.001637,               0.001637,               0.001637
                     57,                 0.5497,                0.49088,                 1.0158,                0.98959,                      1,                  0.995,                0.81734,                0.62624,                 0.5988,                 1.0702,              0.0016304,              0.0016304,              0.0016304
                     58,                0.51228,                0.48063,                 1.0178,                 0.9923,                      1,                  0.995,                0.86358,                 0.6082,                0.56311,                 1.0699,              0.0016238,              0.0016238,              0.0016238
                     59,                0.50359,                0.45498,                0.96172,                 0.9952,                      1,                  0.995,                0.81518,                0.56121,                 0.5472,                 1.0114,              0.0016172,              0.0016172,              0.0016172
                     60,                0.54858,                0.45556,                 1.0001,                      1,                0.99164,                  0.995,                0.88013,                0.54898,                0.59104,                  0.981,              0.0016106,              0.0016106,              0.0016106
                     61,                0.55519,                0.49108,                 1.0221,                0.98061,                0.83333,                  0.955,                0.83538,                0.55547,                0.64408,                0.99586,               0.001604,               0.001604,               0.001604
                     62,                0.57073,                0.45324,                 1.0384,                      1,                0.99807,                  0.995,                0.84819,                0.58489,                 0.5607,                 1.1056,              0.0015974,              0.0015974,              0.0015974
                     63,                0.59558,                0.49602,                 1.0269,                0.99283,                      1,                  0.995,                0.81605,                0.64552,                0.53974,                 1.1968,              0.0015908,              0.0015908,              0.0015908
                     64,                0.53297,                0.44256,                0.98712,                0.99308,                      1,                  0.995,                0.82888,                0.60909,                0.59723,                 1.2145,              0.0015842,              0.0015842,              0.0015842
                     65,                0.51352,                 0.4713,                  0.996,                      1,                0.98459,                  0.995,                0.82017,                0.72221,                0.62896,                 1.3439,              0.0015776,              0.0015776,              0.0015776
                     66,                0.49707,                 0.4327,                0.99295,                 0.9922,                      1,                  0.995,                0.85951,                0.57712,                0.57921,                 1.1288,               0.001571,               0.001571,               0.001571
                     67,                0.49031,                0.43482,                0.97589,                0.99267,                      1,                  0.995,                0.87481,                0.52852,                0.53949,                   1.04,              0.0015644,              0.0015644,              0.0015644
                     68,                0.58412,                0.46514,                 1.0541,                0.99581,                      1,                  0.995,                0.85672,                0.53139,                0.56529,                 1.0207,              0.0015578,              0.0015578,              0.0015578
                     69,                0.50718,                0.42003,                0.99655,                      1,                0.99825,                  0.995,                0.88122,                0.53231,                0.56924,                 1.0306,              0.0015512,              0.0015512,              0.0015512
                     70,                 0.4878,                0.42096,                 0.9712,                0.99651,                      1,                  0.995,                0.87738,                0.50357,                0.52534,                 1.0353,              0.0015446,              0.0015446,              0.0015446
                     71,                0.49131,                0.43119,                0.98885,                0.99397,                      1,                  0.995,                0.89334,                0.48113,                0.47641,                 1.0587,               0.001538,               0.001538,               0.001538
                     72,                0.52429,                0.44146,                 1.0213,                0.99259,                      1,                  0.995,                0.89558,                0.50363,                0.44417,                 1.0834,              0.0015314,              0.0015314,              0.0015314
                     73,                0.53744,                0.41428,                 1.0236,                0.99228,                      1,                  0.995,                0.88398,                0.50151,                0.48652,                 1.0607,              0.0015248,              0.0015248,              0.0015248
                     74,                0.54758,                0.41732,                 1.0492,                0.99216,                      1,                  0.995,                0.89718,                0.55395,                0.45655,                 1.0015,              0.0015182,              0.0015182,              0.0015182
                     75,                0.51938,                0.40269,                 1.0004,                0.99291,                      1,                  0.995,                0.91309,                0.45137,                0.45118,                0.96086,              0.0015116,              0.0015116,              0.0015116
                     76,                0.58127,                0.43114,                 1.0549,                      1,                0.99234,                  0.995,                0.86801,                0.52529,                0.54686,                 1.0205,               0.001505,               0.001505,               0.001505
                     77,                0.56867,                0.43548,                 1.0193,                0.99701,                      1,                  0.995,                0.85502,                0.58396,                0.55027,                 1.0713,              0.0014984,              0.0014984,              0.0014984
                     78,                 0.5111,                0.40376,                0.98586,                0.99398,                      1,                  0.995,                0.89823,                0.51611,                0.50977,                 1.0005,              0.0014918,              0.0014918,              0.0014918
                     79,                0.48337,                0.44259,                 1.0078,                0.99293,                      1,                  0.995,                0.83721,                 0.5386,                0.47604,                0.98821,              0.0014852,              0.0014852,              0.0014852
